"DATA","APERTURA","MASSIMO","MINIMO","CHIUSURA","VAR % CLOSE","VOLUME"
"05/07/17","20.988,34","21.084,03","20.881,45","20.939,39","-0,44","380257205"
"06/07/17","20.951,26","21.084,19","20.854,41","21.084,19","0,69","404361302"
"07/07/17","21.061,83","21.081,68","20.922,27","21.015,10","-0,33","310455154"
"10/07/17","21.140,15","21.210,93","21.086,67","21.190,67","0,84","358777078"
"11/07/17","21.217,22","21.302,58","21.078,17","21.111,70","-0,37","416837068"
"12/07/17","21.193,49","21.459,96","21.187,80","21.432,55","1,52","388331941"
"13/07/17","21.448,84","21.530,05","21.394,55","21.521,91","0,42","405478698"
"14/07/17","21.523,59","21.561,48","21.392,76","21.492,29","-0,14","381009229"
"17/07/17","21.504,72","21.571,43","21.449,18","21.484,84","-0,03","316905082"
"18/07/17","21.419,29","21.538,99","21.293,03","21.358,20","-0,59","376918358"
"19/07/17","21.403,97","21.478,95","21.333,68","21.478,95","0,57","296748712"
"20/07/17","21.526,92","21.592,82","21.403,32","21.438,63","-0,19","382465867"
"21/07/17","21.426,78","21.469,14","21.149,58","21.202,16","-1,10","383344856"
"24/07/17","21.190,86","21.364,94","21.149,29","21.326,58","0,59","411985831"
"25/07/17","21.348,75","21.569,35","21.348,75","21.457,45","0,61","420337386"
"26/07/17","21.497,18","21.577,56","21.452,64","21.577,56","0,56","312131768"
"27/07/17","21.536,40","21.690,61","21.512,86","21.634,72","0,26","314237356"
"28/07/17","21.561,96","21.572,50","21.383,98","21.430,36","-0,94","380917284"
"31/07/17","21.441,65","21.588,34","21.441,53","21.486,91","0,26","370088937"
"01/08/17","21.543,10","21.612,81","21.471,09","21.612,81","0,59","380863985"
"02/08/17","21.636,70","21.659,42","21.507,06","21.573,61","-0,18","272279666"
"03/08/17","21.626,59","21.793,72","21.525,12","21.793,72","1,02","358427226"
"04/08/17","21.774,41","21.961,74","21.722,40","21.935,79","0,65","358345433"
"07/08/17","21.978,01","22.035,54","21.942,47","22.031,17","0,43","251752783"
"08/08/17","22.002,15","22.065,42","21.947,02","22.048,30","0,08","255144666"
"09/08/17","21.925,64","21.958,39","21.745,72","21.848,37","-0,91","333624496"
"10/08/17","21.836,58","21.867,29","21.647,07","21.681,61","-0,76","266778955"
"11/08/17","21.558,29","21.569,98","21.329,21","21.354,02","-1,51","316287029"
"14/08/17","21.476,37","21.778,61","21.467,53","21.722,11","1,72","267551191"
"16/08/17","21.814,40","22.012,63","21.810,72","21.984,85","1,21","323813641"
"17/08/17","21.928,02","22.028,02","21.788,86","21.788,86","-0,89","308939224"
"18/08/17","21.582,59","21.814,96","21.565,97","21.814,96","0,12","279491882"
"21/08/17","21.755,75","21.842,92","21.636,91","21.752,80","-0,28","271223657"
"22/08/17","21.857,69","21.905,50","21.616,89","21.729,48","-0,11","312119395"
"23/08/17","21.740,00","21.844,35","21.541,21","21.620,28","-0,50","332757706"
"24/08/17","21.703,90","21.896,47","21.679,99","21.729,87","0,51","312137411"
"25/08/17","21.743,86","21.852,28","21.691,41","21.746,50","0,08","226711325"
"28/08/17","21.688,23","21.805,47","21.622,74","21.726,21","-0,09","195159853"
"29/08/17","21.612,12","21.616,18","21.335,23","21.408,62","-1,46","408644333"
"30/08/17","21.538,43","21.560,70","21.405,91","21.503,46","0,44","264824854"
"31/08/17","21.587,54","21.767,50","21.542,96","21.670,02","0,77","320725339"
"01/09/17","21.743,06","21.885,84","21.732,58","21.858,56","0,87","309210567"
"04/09/17","21.692,62","21.859,36","21.689,37","21.790,62","-0,31","217718216"
"05/09/17","21.806,00","21.916,00","21.708,85","21.737,69","-0,24","290291319"
"06/09/17","21.607,44","21.908,31","21.596,91","21.814,56","0,35","314880333"
"07/09/17","21.852,96","21.875,80","21.695,14","21.722,51","-0,42","338231020"
"08/09/17","21.689,03","21.827,63","21.581,89","21.776,66","0,25","311793476"
"11/09/17","21.901,19","22.134,11","21.901,19","22.134,11","1,64","354959375"
"12/09/17","22.195,57","22.308,46","22.157,31","22.233,40","0,45","367585919"
"13/09/17","22.206,88","22.309,95","22.193,06","22.233,30","0,00","398702099"
"14/09/17","22.201,44","22.324,77","22.182,99","22.281,14","0,22","422980119"
"15/09/17","22.302,07","22.302,07","22.210,02","22.229,49","-0,23","538850584"
"18/09/17","22.285,56","22.390,96","22.274,33","22.364,74","0,61","449029258"
"19/09/17","22.357,14","22.425,42","22.319,08","22.425,42","0,27","290710128"
"20/09/17","22.421,70","22.462,48","22.320,24","22.355,58","-0,31","292677905"
"21/09/17","22.410,11","22.529,86","22.399,58","22.491,73","0,61","348846464"
"22/09/17","22.449,00","22.613,48","22.437,91","22.530,83","0,17","322014492"
"25/09/17","22.498,91","22.555,57","22.367,27","22.389,57","-0,63","316745834"
"26/09/17","22.376,98","22.480,27","22.366,42","22.430,65","0,18","296593498"
"27/09/17","22.472,64","22.650,00","22.464,87","22.622,19","0,85","452156154"
"28/09/17","22.656,19","22.668,97","22.564,03","22.587,67","-0,15","386928832"
"29/09/17","22.620,92","22.696,32","22.540,91","22.696,32","0,48","346073051"
"02/10/17","22.714,12","22.811,19","22.660,23","22.811,19","0,51","367489560"
"03/10/17","22.828,82","22.860,14","22.743,84","22.784,82","-0,12","286110595"
"04/10/17","22.780,35","22.782,48","22.433,89","22.456,38","-1,44","523619856"
"05/10/17","22.422,00","22.613,96","22.386,80","22.566,03","0,49","454785883"
