DATA,APERTURA,MASSIMO,MINIMO,CHIUSURA,VAR % CLOSE,VOLUME
26/07/19,"12.363,85","12.428,05","12.356,15","12.419,90","0,47",73308041
29/07/19,"12.398,30","12.473,95","12.387,60","12.417,45","-0,02",66298553
30/07/19,"12.398,25","12.404,50","12.115,30","12.147,25","-2,18",118257935
31/07/19,"12.149,10","12.226,50","12.139,05","12.189,05","0,34",94019580
01/08/19,"12.134,70","12.254,05","12.129,35","12.253,15","0,53",90473085
02/08/19,"12.033,70","12.034,90","11.836,75","11.872,45","-3,11",142967371
05/08/19,"11.758,45","11.797,50","11.628,55","11.658,50","-1,80",117303384
06/08/19,"11.690,25","11.748,85","11.567,95","11.567,95","-0,78",88886937
07/08/19,"11.636,35","11.747,75","11.559,75","11.650,15","0,71",112195161
08/08/19,"11.752,95","11.845,40","11.684,00","11.845,40","1,68",104281793
09/08/19,"11.806,80","11.865,65","11.674,10","11.693,80","-1,28",110487677
12/08/19,"11.801,05","11.836,95","11.647,00","11.679,70","-0,12",76120871
13/08/19,"11.632,85","11.835,90","11.539,65","11.750,15","0,60",116609371
14/08/19,"11.758,75","11.759,55","11.459,35","11.492,65","-2,19",106028914
15/08/19,"11.522,45","11.530,00","11.266,50","11.412,65","-0,70",116680948
16/08/19,"11.460,65","11.578,85","11.447,35","11.562,75","1,31",114055556
19/08/19,"11.679,70","11.759,00","11.625,65","11.715,35","1,32",78455824
20/08/19,"11.711,80","11.764,95","11.618,95","11.651,20","-0,55",68833315
21/08/19,"11.673,65","11.824,65","11.673,35","11.802,85","1,30",62803519
22/08/19,"11.756,20","11.853,15","11.715,25","11.747,05","-0,47",74446076
23/08/19,"11.805,50","11.823,10","11.611,50","11.611,50","-1,15",90301076
26/08/19,"11.619,65","11.696,80","11.552,00","11.658,05","0,40",54752451
27/08/19,"11.638,50","11.778,60","11.616,10","11.730,00","0,62",82363650
28/08/19,"11.704,65","11.717,80","11.573,65","11.701,00","-0,25",59962608
29/08/19,"11.686,85","11.853,90","11.661,75","11.838,90","1,18",72992664
30/08/19,"11.850,30","11.989,45","11.845,15","11.939,30","0,85",77686509
02/09/19,"11.940,00","11.994,10","11.929,90","11.953,80","0,12",46207603
03/09/19,"11.921,95","11.956,70","11.869,30","11.910,85","-0,36",66704153
04/09/19,"12.043,95","12.078,40","11.999,85","12.025,05","0,96",63323800
05/09/19,"12.117,90","12.151,30","12.084,15","12.126,80","0,85",89831607
06/09/19,"12.146,00","12.205,10","12.131,30","12.191,75","0,54",80411036
