DATA,APERTURA,MASSIMO,MINIMO,CHIUSURA,VAR % CLOSE,VOLUME
14/11/17,"2.577,75","2.579,66","2.566,56","2.578,87","-0,23",0
16/11/17,"2.572,95","2.590,09","2.572,95","2.585,64","0,26",0
17/11/17,"2.582,94","2.583,96","2.577,62","2.578,85","-0,26",0
20/11/17,"2.579,49","2.584,64","2.578,24","2.582,14","0,13",0
21/11/17,"2.589,17","2.601,19","2.589,17","2.599,03","0,65",0
22/11/17,"2.600,31","2.600,94","2.595,23","2.597,08","-0,08",0
24/11/17,"2.600,42","2.604,21","2.600,42","2.602,42","0,21",0
27/11/17,"2.602,66","2.606,41","2.598,87","2.601,42","-0,04",0
28/11/17,"2.605,94","2.627,69","2.605,44","2.627,04","0,98",0
29/11/17,"2.627,82","2.634,89","2.620,32","2.626,07","-0,04",0
30/11/17,"2.633,93","2.657,74","2.633,93","2.647,58","0,82",0
01/12/17,"2.645,10","2.650,62","2.605,52","2.642,22","-0,20",0
04/12/17,"2.657,19","2.665,19","2.639,03","2.639,44","-0,11",0
05/12/17,"2.639,78","2.648,72","2.627,73","2.629,57","-0,37",0
06/12/17,"2.626,24","2.634,41","2.624,75","2.629,27","-0,01",0
07/12/17,"2.628,38","2.640,99","2.626,53","2.636,98","0,29",0
08/12/17,"2.646,21","2.651,65","2.644,10","2.651,50","0,55",0
11/12/17,"2.652,19","2.660,33","2.651,47","2.659,99","0,32",0
12/12/17,"2.661,73","2.669,72","2.659,78","2.664,11","0,15",0
13/12/17,"2.667,59","2.671,88","2.662,85","2.662,85","-0,05",0
14/12/17,"2.665,87","2.668,09","2.652,01","2.652,01","-0,41",0
15/12/17,"2.660,63","2.679,63","2.659,14","2.675,81","0,90",0
18/12/17,"2.685,92","2.694,97","2.685,92","2.690,16","0,54",0
19/12/17,"2.692,71","2.694,44","2.680,74","2.681,47","-0,32",0
20/12/17,"2.688,18","2.691,01","2.676,11","2.679,25","-0,08",0
21/12/17,"2.683,02","2.692,64","2.682,40","2.684,57","0,20",0
22/12/17,"2.684,22","2.685,35","2.678,13","2.683,34","-0,05",0
26/12/17,"2.679,09","2.682,74","2.677,96","2.680,50","-0,11",0
27/12/17,"2.682,10","2.685,64","2.678,91","2.682,62","0,08",0
28/12/17,"2.686,10","2.687,66","2.682,69","2.687,54","0,18",0
29/12/17,"2.689,15","2.692,12","2.673,61","2.673,61","-0,52",0
02/01/18,"2.683,73","2.695,89","2.682,36","2.695,81","0,83",0
03/01/18,"2.697,85","2.714,37","2.697,77","2.713,06","0,64",0
04/01/18,"2.719,31","2.729,29","2.719,07","2.723,99","0,40",0
05/01/18,"2.731,33","2.743,45","2.727,92","2.743,15","0,70",0
08/01/18,"2.742,67","2.748,51","2.737,60","2.747,71","0,17",0
09/01/18,"2.751,15","2.759,14","2.747,86","2.751,29","0,13",0
10/01/18,"2.745,55","2.750,80","2.736,06","2.748,23","-0,11",0
11/01/18,"2.752,97","2.767,56","2.752,78","2.767,56","0,70",0
12/01/18,"2.770,18","2.787,85","2.769,64","2.786,24","0,67",0
16/01/18,"2.798,96","2.807,54","2.768,64","2.776,42","-0,35",0
17/01/18,"2.784,99","2.807,04","2.778,38","2.802,56","0,94",0
18/01/18,"2.802,40","2.805,83","2.792,56","2.798,03","-0,16",0
19/01/18,"2.802,60","2.810,33","2.798,08","2.810,30","0,44",0
22/01/18,"2.809,16","2.833,03","2.808,12","2.832,97","0,81",0
23/01/18,"2.835,05","2.842,24","2.830,59","2.839,13","0,22",0
24/01/18,"2.845,42","2.852,97","2.824,81","2.837,54","-0,06",0
25/01/18,"2.846,24","2.848,56","2.830,94","2.839,25","0,06",0
26/01/18,"2.847,48","2.872,87","2.846,18","2.872,87","1,18",0
29/01/18,"2.867,23","2.870,62","2.851,48","2.853,53","-0,67",0
30/01/18,"2.832,74","2.837,75","2.818,27","2.822,43","-1,09",0
31/01/18,"2.832,41","2.839,26","2.813,04","2.823,81","0,05",0
01/02/18,"2.816,45","2.835,96","2.812,70","2.821,98","-0,06",0
